lambda_A, Ft_raw, Fc_anchored, A_t, A_c, pre_extract_ratio_r, epsilon
5.730000000000000000e+03,1.037000000000000000e+07,9.038761121429811465e+04,9.991207675556261769e-01,8.556247592750064745e-01,8.716259519218718874e-03,7.464410404715947703e-03
5.750000000000000000e+03,1.008000000000000000e+07,8.773233463596316869e+04,9.991244294630361455e-01,8.558348475896344620e-01,8.703604626583648016e-03,7.455375846505846518e-03
5.770000000000000000e+03,1.014000000000000000e+07,8.847159436217766779e+04,9.991268610801731231e-01,8.560460571141502717e-01,8.725009305934680950e-03,7.475536996928276549e-03
5.790000000000000000e+03,9.905000000000000000e+06,8.362251551434415160e+04,9.991304940925322953e-01,8.562583747724687999e-01,8.442454872725305495e-03,7.235213749506667555e-03
5.810000000000000000e+03,1.005000000000000000e+07,8.737227578844642267e+04,9.991341098904689133e-01,8.564717875788010470e-01,8.693758784920041505e-03,7.452412097226511836e-03
5.830000000000000000e+03,1.013000000000000000e+07,8.939510894351013121e+04,9.991365109039667125e-01,8.563796778855873315e-01,8.824788642004949279e-03,7.563901000686155604e-03
5.850000000000000000e+03,9.921000000000000000e+06,8.585719689918489894e+04,9.991400982138242126e-01,8.565955724732536858e-01,8.654086977037083253e-03,7.419432571649182094e-03
5.870000000000000000e+03,9.915000000000000000e+06,8.568296205404498323e+04,9.991424803192033854e-01,8.568125262983811163e-01,8.641751089666664318e-03,7.410715417098026267e-03
5.890000000000000000e+03,9.312000000000000000e+06,6.400622856244189461e+04,9.991460393921312022e-01,8.570305267090756463e-01,6.873521108509654011e-03,5.895852241536064624e-03
5.910000000000000000e+03,9.803000000000000000e+06,8.321776543850291637e+04,9.991495816424393883e-01,8.569437330307119183e-01,8.489010041671215048e-03,7.280795677146423631e-03
5.930000000000000000e+03,9.760000000000000000e+06,8.421744891459579230e+04,9.991519338407235384e-01,8.571641291739984236e-01,8.628836978954487757e-03,7.402607435706550117e-03
5.950000000000000000e+03,9.756000000000000000e+06,8.417140424862201326e+04,9.991554482508860913e-01,8.573855369025461526e-01,8.627655212035876403e-03,7.403479417673154879e-03
5.970000000000000000e+03,9.743000000000000000e+06,8.487076082778417913e+04,9.991577819709087649e-01,8.576079438878169148e-01,8.710947431775035998e-03,7.476874875100516897e-03
5.990000000000000000e+03,9.646000000000000000e+06,8.350764448282036756e+04,9.991612687857955866e-01,8.575263264194353807e-01,8.657230404605056190e-03,7.430034787926874211e-03
6.010000000000000000e+03,9.498000000000000000e+06,8.161557959358648804e+04,9.991635841900108339e-01,8.577510452427037357e-01,8.592922677783373930e-03,7.376758445949084704e-03
6.030000000000000000e+03,9.484000000000000000e+06,8.258913722403896099e+04,9.991670436521220555e-01,8.579767292035371806e-01,8.708259935052611173e-03,7.477712984628802177e-03
6.050000000000000000e+03,9.617000000000000000e+06,8.385675768043039716e+04,9.991704868179909216e-01,8.582033662867468715e-01,8.719637899597629596e-03,7.489435183446656319e-03
6.070000000000000000e+03,9.556000000000000000e+06,8.266026713266638399e+04,9.991727732509025905e-01,8.581267886737408146e-01,8.650090742221262785e-03,7.429020074483982071e-03
6.090000000000000000e+03,9.369000000000000000e+06,7.965857799545538728e+04,9.991761894471287153e-01,8.583556557843577961e-01,8.502356494338284693e-03,7.304062948545979664e-03
6.110000000000000000e+03,9.272000000000000000e+06,7.928544375198923808e+04,9.991784579792999388e-01,8.585854427516875775e-01,8.551061664364671341e-03,7.347853635619138596e-03
6.130000000000000000e+03,8.976000000000000000e+06,7.404464434417537996e+04,9.991818474423370677e-01,8.588161378643689448e-01,8.249180519627381108e-03,7.090330326303516048e-03
6.150000000000000000e+03,9.049000000000000000e+06,7.727241624974159640e+04,9.991840982306414709e-01,8.587444670847271810e-01,8.539332108491722723e-03,7.339092179060605070e-03
6.170000000000000000e+03,8.799000000000000000e+06,7.081466021986442502e+04,9.991874611946621743e-01,8.589773124315632780e-01,8.048035028965158655e-03,6.918701212753470414e-03
6.190000000000000000e+03,9.164000000000000000e+06,7.796959715785793378e+04,9.991896943944598153e-01,8.592110334852864906e-01,8.508249362489953699e-03,7.316310175042230191e-03
6.210000000000000000e+03,9.164000000000000000e+06,7.737678325465606758e+04,9.991930310913785807e-01,8.591429112026158776e-01,8.443559936125716661e-03,7.260083325954867772e-03
6.230000000000000000e+03,8.947000000000000000e+06,7.480542365664948011e+04,9.991952468565334922e-01,8.593787250817730428e-01,8.360950447820441125e-03,7.191009924160977722e-03
6.250000000000000000e+03,8.694000000000000000e+06,7.222848985582881141e+04,9.991985575160304833e-01,8.596153828206292147e-01,8.307854825837223192e-03,7.147287946735953953e-03
6.270000000000000000e+03,8.996000000000000000e+06,7.486005957541780663e+04,9.992007559989229959e-01,8.595507407697180469e-01,8.321482834083793190e-03,7.158458089023830330e-03
6.290000000000000000e+03,9.002000000000000000e+06,7.565582874162118242e+04,9.992040408484694769e-01,8.597894349533657943e-01,8.404335563388267219e-03,7.231715074999282497e-03
6.310000000000000000e+03,8.755000000000000000e+06,7.283531011487005162e+04,9.992062222000150928e-01,8.600289417276273385e-01,8.319281566518565985e-03,7.160506772900089925e-03
6.330000000000000000e+03,8.769000000000000000e+06,7.322056249568959174e+04,9.992083967409534084e-01,8.599677128456110209e-01,8.349933002131324986e-03,7.186361533467541460e-03
6.350000000000000000e+03,8.763000000000000000e+06,7.340916066804259026e+04,9.992116458345567942e-01,8.602092006885555531e-01,8.377172277535385736e-03,7.211806126289068905e-03
6.370000000000000000e+03,8.717000000000000000e+06,7.281005818343494320e+04,9.992138034529961521e-01,8.604514704184320628e-01,8.352650933054369536e-03,7.192705657590133146e-03
6.390000000000000000e+03,8.747000000000000000e+06,7.356075821611002903e+04,9.992170272736942138e-01,8.603935888156889478e-01,8.409827165440725283e-03,7.241431219337378551e-03
6.410000000000000000e+03,8.549000000000000000e+06,7.138384389138748520e+04,9.992191681170936590e-01,8.606377852199567080e-01,8.349964193635218621e-03,7.191910363186736904e-03
6.430000000000000000e+03,8.610000000000000000e+06,7.158985454036036390e+04,9.992223668850108709e-01,8.608827333606199339e-01,8.314733396092958279e-03,7.163581051040533373e-03
6.450000000000000000e+03,8.494000000000000000e+06,6.983151927369977057e+04,9.992244910994145801e-01,8.608281342927045499e-01,8.221276109453704364e-03,7.082598392899182652e-03
6.470000000000000000e+03,8.466000000000000000e+06,6.931700536374867079e+04,9.992266087027985577e-01,8.610749556733716670e-01,8.187692577811088793e-03,7.055673820234338936e-03
6.490000000000000000e+03,8.346000000000000000e+06,6.811050326670754293e+04,9.992297727626179293e-01,8.610224581020711199e-01,8.160855891050507530e-03,7.032096511798362204e-03
6.510000000000000000e+03,8.479000000000000000e+06,7.038880452990734193e+04,9.992318739391197191e-01,8.612711190217703372e-01,8.301545527763574614e-03,7.155377638346560598e-03
6.530000000000000000e+03,8.446000000000000000e+06,7.081037390339939157e+04,9.992350134658871674e-01,8.615204832739747909e-01,8.383894613236964055e-03,7.228426587916563124e-03
6.550000000000000000e+03,8.117000000000000000e+06,6.917149093647033442e+04,9.992370983582146149e-01,8.614711649063639953e-01,8.521804969381586298e-03,7.346894211734152427e-03
6.570000000000000000e+03,7.179000000000000000e+06,6.663567468272350379e+04,9.992391767765247401e-01,8.617223167886585156e-01,9.282027396952710271e-03,8.004620253982221156e-03
6.590000000000000000e+03,8.223000000000000000e+06,6.859807354589432362e+04,9.992422823144642141e-01,8.616750354729523220e-01,8.342219815869430719e-03,7.193733374765545752e-03
6.610000000000000000e+03,8.332000000000000000e+06,6.889645339036233781e+04,9.992443446461023449e-01,8.619279422374959143e-01,8.268897430432350232e-03,7.132583521710775774e-03
